"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"AAC","2017-07-19","2015-10-13","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"ABCR","2013-08-08","2015-10-13","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"ACTN","2012-03-29","2011-03-16","2010-03-19","2009-04-10","2008-04-08","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"ACTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADSY","2009-12-15","2015-10-13","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"AGMB","2003-01-06","2001-11-16","2000-10-31","1999-10-01","1999-05-24","1998-11-04","1997-11-07","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"AGSX","2009-01-13","2015-10-13","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"AIDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AKRK","2011-04-15","2010-04-15","2009-04-16","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"ALN","2020-05-14","2019-04-15","2018-04-17","2017-10-31","2016-04-14","2015-04-15","2014-03-31","2013-04-01","2012-03-30","2011-03-31","2010-03-29","2009-04-13","2008-04-15",NA,NA
"AMCF","2014-03-31","2013-04-16","2012-04-16","2011-03-31","2010-03-02","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"AMMY","2010-04-15","2009-04-15","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"AMNN","2010-10-20","2009-10-27","2008-11-03","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"ANNO","2015-01-07","2014-01-24","2013-01-11","2012-01-13","2010-12-29","2009-12-29","2009-01-12","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"ANVS","2013-03-28","2012-03-30","2010-07-16","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"AOB","2013-06-11","2013-01-07","2011-03-15","2010-03-15","2009-03-09","2008-03-06","2007-03-13","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"APLL","2018-10-15","2017-09-28","2016-10-11","2015-09-02","2014-09-29","2013-09-24","2012-09-28","2011-10-14","2010-10-12","2009-10-19","2008-10-14",NA,NA,NA,NA
